,carbohydrates_100g,energy_100g,fiber_100g,nutrition-score-fr_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
33915,10.850000000000001,393.0,0.0,1.0,3.5,1.6,0.0511811023622047,4.8
33916,64.0,1473.0,8.0,-6.0,14.0,1.0,0.0,2.0
33917,25.525,1498.0,3.0,-5.0,11.0,0.2,0.0,3.3
33918,31.875,1849.0,0.0,24.0,6.0,14.0,0.259842519685039,32.0
33919,5.25,234.0,2.2,-1.0,0.0,0.0,0.0,12.0
33920,29.7,1052.0,1.3599999999999999,14.0,5.0,7.7,0.0590551181102362,19.5
33921,24.0,305.0,0.0,-2.0,7.5,2.1,0.0511811023622047,3.5
33922,11.0,226.0,0.2,0.0,2.9,0.4,0.0433070866141732,5.8
33923,8.625,201.0,0.0,-4.0,7.4,0.0,0.0393700787401575,4.5
33924,37.75,2004.0,0.0,21.0,6.1,10.0,0.228346456692913,25.0
33925,27.924999999999997,1824.0,0.0,12.0,5.4,3.0,0.0590551181102362,25.5
33926,22.275,1318.0,2.6,8.0,11.0,2.5,0.551181102362205,1.9
33927,10.75,176.0,0.5,2.0,0.1,0.007,0.0,9.67
33928,35.025,2113.0,4.5,19.0,9.2,13.0,0.244094488188976,28.0
33929,40.25,1992.0,6.0,15.0,8.0,10.0,0.15748031496063,27.0
33930,7.275,222.0,0.0,0.0,3.8,1.5,0.0,5.5
33931,7.4,1326.0,0.0,-2.0,21.7,0.2,0.0039370078740157,1.2
33932,19.65,2293.0,0.0,19.0,1.3,3.3,0.866141732283465,6.6
33933,15.175,577.0,4.1,-4.0,13.0,1.4,0.393700787401575,0.5
33934,0.5249999999999999,192.0,0.0,-2.0,4.8,0.4,0.0393700787401575,0.0
33935,14.225,347.0,0.0,1.0,3.8,0.3,0.0393700787401575,11.3
33936,0.0,1883.0,0.0,10.0,0.0,14.0,0.15748031496063,0.0
33937,10.73,167.0,1.7,-1.0,0.0,0.0,0.017,7.91
33938,3.9,66.0,0.0,0.0,0.0,0.0,0.0157,3.9
33939,5.25,54.0,3.6,-2.0,0.0,0.0,0.0708661417322835,0.5
33940,42.0,1091.0,6.3,-1.0,9.0,0.6,0.511811023622047,5.8
33941,7.050000000000001,502.0,0.0,1.0,1.0,0.9,0.12992125984252,7.0
33942,31.5,881.0,1.625,4.0,9.3,2.1,0.394,5.8
33943,2.9,1883.0,0.0,15.0,0.0,14.0,0.62992125984252,0.0
33944,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33945,5.25,259.0,0.0,0.0,0.0,0.0,0.0196850393700787,13.5
33946,10.85,188.0,2.7,-3.0,1.7,0.0,0.031496062992126,6.1
33947,23.1,563.0,1.5,-1.0,2.7,0.5,0.177165354330709,1.6
33948,45.0,1648.0,2.9,16.0,4.4,14.6,0.0393700787401575,27.1
33949,25.025,1456.0,3.0,-5.0,11.0,0.3,0.0,2.5
33950,29.3,1393.0,1.125,20.0,10.1,10.2,0.47244094488189,4.8
33951,33.625,1008.0,0.0,13.0,12.2,5.8,0.47244094488189,3.3
33952,0.25,4.0,0.35,2.0,0.0,0.0,0.0,0.25
33953,13.0,238.0,1.2,6.0,0.4,0.0,0.0,13.0
33954,5.825,565.0,0.0,8.0,4.7,4.4,0.47244094488189,1.2
33955,9.4,182.0,0.6,3.0,0.6,0.0,0.0019685039370078,8.5
33956,46.0,1019.0,7.4,0.0,3.9,0.5,0.433070866141732,2.7
33957,10.0,331.0,0.0,2.0,3.7,1.3,0.275590551181102,1.8
33958,37.75,1469.0,2.8,-4.0,12.0,0.2,0.0039370078740157,0.2
33959,10.95,100.0,0.8,-2.0,1.9,0.0,0.0393700787401575,3.6
33960,62.65,1523.0,1.0,-1.0,7.7,0.6,0.015748031496063,0.0
33961,43.5,2067.0,7.2,12.0,13.0,4.1,0.0196850393700787,33.0
33962,47.8475,1644.0,3.1,-4.0,8.6,0.6,0.0984251968503937,0.6
33963,24.675000000000004,2201.0,1.8,4.0,6.2,1.9,0.251968503937008,1.4
33964,13.100000000000001,381.0,5.2,-3.0,5.6,0.1,0.393700787401575,4.1
33965,2.2,874.0,0.5,14.0,22.3,2.4,1.03149606299213,0.2
33966,39.5,2046.0,3.3,17.0,7.4,13.0,0.078740157480315,25.0
33967,19.625,2180.0,0.0,21.0,17.2,10.0,0.598425196850394,3.8
33968,39.949999999999996,1619.0,2.8,-2.0,7.9,0.6,0.0984251968503937,0.6
33969,29.325000000000003,1038.0,0.0,16.0,4.1,6.4,0.0,33.4
33970,10.475,121.0,2.2,-5.0,4.2,0.6,0.0118110236220472,0.6
33971,10.15,109.0,2.8,0.0,1.6,0.0,0.295275590551181,0.8
33972,7.625,293.0,0.0,0.0,1.5,0.5,0.0098425196850393,4.1
33973,9.8,264.0,0.5,1.0,0.5,0.4,0.0393700787401575,5.0
33974,41.625,1481.0,3.9,-6.0,8.4,0.4,0.0039370078740157,1.6
33975,7.800000000000001,264.0,0.0,1.0,1.7,1.0,0.236220472440945,3.6
33976,11.4,184.0,0.0,0.0,1.3,0.4,0.0393700787401575,1.3
33977,11.3,1100.0,2.4,2.0,0.3,0.0,0.0039370078740157,10.8
33978,11.3,264.0,2.4,-1.0,0.3,0.0,0.0039370078740157,10.4
33979,62.425,1464.0,3.2,-4.0,7.5,0.7,0.0393700787401575,0.77
33980,26.75,2669.0,0.0,23.0,8.5,12.5,0.0236220472440945,28.3
33981,26.75,2477.0,5.8,20.0,6.6,11.0,0.0078740157480315,40.0
33982,26.25,1623.0,2.4,3.0,6.0,0.4,0.0118110236220472,24.0
33983,13.675,1268.0,2.1,4.0,0.6,0.1,0.0039370078740157,14.0
33984,14.2,381.0,0.2,2.0,2.1,1.4,0.0035433070866141,4.6
33985,22.275,1958.0,5.7,10.0,11.0,3.8,0.0354330708661417,34.0
33986,11.3,669.0,2.5,6.0,0.3,0.01,0.0196850393700787,38.2
33987,7.050000000000001,360.0,1.1,3.0,0.8,2.2,0.0078740157480315,9.0
33988,11.2,180.0,0.0,0.0,2.3,0.0,0.0551181102362205,6.7
33989,5.15,272.0,0.0,-2.0,5.6,1.7,0.0393700787401575,4.3
33990,36.375,1757.0,6.1,11.0,11.0,1.8,1.05511811023622,2.8
33991,24.675000000000004,1109.0,2.3,8.0,6.1,2.6,0.551181102362205,1.6
33992,2.425,477.0,0.5,5.0,20.0,1.3,0.748031496062992,0.5
33993,12.075,192.0,1.8,-1.0,1.0,0.0,0.0,8.3
33994,38.1,958.0,0.0,2.0,12.4,1.9,0.433070866141732,1.8
33995,17.0,862.0,0.0,4.0,7.7,3.3,0.275590551181102,2.3
33996,29.0,1059.0,1.65,12.0,8.7,3.2,0.47244094488189,5.9
33997,13.25,678.0,0.0,1.0,6.0,2.0,0.15748031496063,4.0
33998,9.9,238.0,0.0,4.0,1.5,0.464,0.291338582677165,5.8
33999,37.3,1908.0,2.3,12.0,6.2,4.8,0.0748031496062992,27.3
34000,29.5,1573.0,6.4,-3.0,7.3,0.1,0.0393700787401575,11.0
34001,12.95,368.0,0.0,3.0,1.4,0.9,0.216535433070866,4.1
34002,15.875,1916.0,0.0,15.0,14.2,3.0,0.748031496062992,3.0
34003,18.75,661.0,2.4,-1.0,16.0,2.2,0.433070866141732,0.8
34004,18.15,791.0,2.5,1.0,4.2,1.1,0.330708661417323,3.8
34005,5.4,210.0,1.0,4.0,1.3,0.2,0.362204724409449,4.4
34006,10.200000000000001,71.0,1.0,-1.0,1.2,0.1,0.008,2.5
34007,7.050000000000001,347.0,1.0,5.0,0.7,3.9,0.0196850393700787,10.7
34008,11.1,176.0,2.0,-2.0,1.5,0.2,0.0,1.6
